0.1,0.310839577
0.15,0.282306505
0.2,0.266086165
0.25,0.255954698
0.3,0.24483073
0.35,0.238234787
0.4,0.232485879
0.45,0.228038401
0.5,0.227138058
0.55,0.222826797
0.6,0.220765972
0.65,0.218832569
0.7,0.231575822
0.75,0.220850068
0.8,0.219086481
0.825,0.209824605
0.85,0.215696859
0.875,0.222432295
0.9,0.241794948
0.925,0.284053039
0.95,0.327839753
0.975,0.368888955
1,0.423717428
1.025,0.450467567
1.05,0.459847166
1.075,0.465911655
1.1,0.453197516
1.125,0.438086146
1.15,0.43561572
1.175,0.42168417
1.2,0.415289746
1.25,0.41145752
1.3,0.401029091
1.35,0.41271586
1.4,0.411444913
1.45,0.40562077
1.5,0.396861247
1.55,0.388647686
1.6,0.380672028
1.65,0.373216215
1.7,0.366947876
1.75,0.361150644
1.8,0.354269613
1.85,0.345649966
1.9,0.338895018
